Day of Week,Date,Hour ending,Hourly volume Westbound,HCV % Westbound,Hourly volume Eastbound,HCV % Eastbound,Total volume,Total % HCV
Sat, Jan 1 2011,0100,84,7.1,80,6.2,164,6.7
Sat, Jan 1 2011,0200,166,3.6,99,1,265,2.6
Sat, Jan 1 2011,0300,125,1.6,81,4.9,206,2.9
Sat, Jan 1 2011,0400,80,2.5,66,4.5,146,3.4
Sat, Jan 1 2011,0500,72,0,51,5.9,123,2.4
Sat, Jan 1 2011,0600,67,1.5,66,7.6,133,4.5
Sat, Jan 1 2011,0700,102,1,181,1.1,283,1.1
Sat, Jan 1 2011,0800,135,7.4,195,2.1,330,4.2
Sat, Jan 1 2011,0900,177,4.5,159,1.9,336,3.3
Sat, Jan 1 2011,1000,242,2.5,199,2,441,2.3
Sat, Jan 1 2011,1100,396,1.8,332,3.6,728,2.6
Sat, Jan 1 2011,1200,667,0.9,508,2,1175,1.4
Sat, Jan 1 2011,1300,868,0.7,829,1.6,1697,1.1
Sat, Jan 1 2011,1400,1029,0.7,1088,0.8,2117,0.8
Sat, Jan 1 2011,1500,1079,0.6,1186,0.9,2265,0.8
Sat, Jan 1 2011,1600,1047,1.3,1258,0.8,2305,1
Sat, Jan 1 2011,1700,920,0.8,1146,0.3,2066,0.5
Sat, Jan 1 2011,1800,818,0.6,992,0.9,1810,0.8
Sat, Jan 1 2011,1900,685,1.6,914,0.8,1599,1.1
Sat, Jan 1 2011,2000,590,1,724,1.9,1314,1.5
Sat, Jan 1 2011,2100,476,1.7,520,2.1,996,1.9
Sat, Jan 1 2011,2200,291,3.1,416,1.7,707,2.3
Sat, Jan 1 2011,2300,212,0.9,217,3.2,429,2.1
Sat, Jan 1 2011,2400,155,5.2,147,3.4,302,4.3
Sun, Jan 2 2011,0100,129,5.4,90,13.3,219,8.7
Sun, Jan 2 2011,0200,78,12.8,71,4.2,149,8.7
Sun, Jan 2 2011,0300,56,21.4,42,9.5,98,16.3
Sun, Jan 2 2011,0400,45,6.7,53,7.5,98,7.1
Sun, Jan 2 2011,0500,44,22.7,80,5,124,11.3
Sun, Jan 2 2011,0600,54,13,144,5.6,198,7.6
Sun, Jan 2 2011,0700,118,10.2,297,2.4,415,4.6
Sun, Jan 2 2011,0800,172,7.6,245,2.9,417,4.8
Sun, Jan 2 2011,0900,304,3.3,183,6.6,487,4.5
Sun, Jan 2 2011,1000,372,2.7,348,2,720,2.4
Sun, Jan 2 2011,1100,526,2.1,535,3.2,1061,2.6
Sun, Jan 2 2011,1200,749,1.2,1004,1.4,1753,1.3
Sun, Jan 2 2011,1300,930,1.2,1387,1.9,2317,1.6
Sun, Jan 2 2011,1400,1130,1.4,1723,0.7,2853,1
Sun, Jan 2 2011,1500,1164,1,1798,0.6,2962,0.8
Sun, Jan 2 2011,1600,1188,0.9,1776,0.8,2964,0.8
Sun, Jan 2 2011,1700,1183,0.8,1770,0.7,2953,0.7
Sun, Jan 2 2011,1800,1100,1.3,1609,0.7,2709,0.9
Sun, Jan 2 2011,1900,979,1,1663,1,2642,1
Sun, Jan 2 2011,2000,898,1,1208,1.3,2106,1.2
Sun, Jan 2 2011,2100,592,1.5,870,1.4,1462,1.4
Sun, Jan 2 2011,2200,404,3,578,1.7,982,2.2
Sun, Jan 2 2011,2300,251,3.2,352,0.9,603,1.8
Sun, Jan 2 2011,2400,167,6,186,3.2,353,4.5
Mon, Jan 3 2011,0100,137,7.3,97,9.3,234,8.1
Mon, Jan 3 2011,0200,94,11.7,63,7.9,157,10.2
Mon, Jan 3 2011,0300,55,23.6,46,13,101,18.8
Mon, Jan 3 2011,0400,59,18.6,72,15.3,131,16.8
Mon, Jan 3 2011,0500,55,30.9,86,5.8,141,15.6
Mon, Jan 3 2011,0600,66,18.2,168,6.5,234,9.8
Mon, Jan 3 2011,0700,189,14.3,354,2.5,543,6.6
Mon, Jan 3 2011,0800,246,12.2,417,6.2,663,8.4
Mon, Jan 3 2011,0900,317,6.3,359,4.7,676,5.5
Mon, Jan 3 2011,1000,343,9.6,504,5.4,847,7.1
Mon, Jan 3 2011,1100,484,5,606,5.4,1090,5.2
Mon, Jan 3 2011,1200,647,4,932,4.9,1579,4.6
Mon, Jan 3 2011,1300,811,3.5,1267,2.9,2078,3.1
Mon, Jan 3 2011,1400,883,2.4,1439,2,2322,2.2
Mon, Jan 3 2011,1500,976,2.6,1538,1.4,2514,1.9
Mon, Jan 3 2011,1600,1029,2.3,1631,2.1,2660,2.2
Mon, Jan 3 2011,1700,1142,1.1,1684,1.5,2826,1.3
Mon, Jan 3 2011,1800,1167,1.7,1610,1.5,2777,1.6
Mon, Jan 3 2011,1900,1065,2.2,1502,1.8,2567,1.9
Mon, Jan 3 2011,2000,799,2.6,1301,1.3,2100,1.8
Mon, Jan 3 2011,2100,564,4.1,988,2.4,1552,3
Mon, Jan 3 2011,2200,371,4.9,707,2.7,1078,3.4
Mon, Jan 3 2011,2300,288,3.1,408,2.2,696,2.6
Mon, Jan 3 2011,2400,195,5.1,226,2.2,421,3.6
Tue, Jan 4 2011,0100,126,9.5,89,10.1,215,9.8
Tue, Jan 4 2011,0200,78,19.2,42,11.9,120,16.7
Tue, Jan 4 2011,0300,57,33.3,39,25.6,96,30.2
Tue, Jan 4 2011,0400,51,43.1,61,27.9,112,34.8
Tue, Jan 4 2011,0500,64,34.4,133,21.8,197,25.9
Tue, Jan 4 2011,0600,133,28.6,289,15.2,422,19.4
Tue, Jan 4 2011,0700,352,20.5,1127,5.5,1479,9.1
Tue, Jan 4 2011,0800,653,13.9,2101,3,2754,5.6
Tue, Jan 4 2011,0900,661,15.1,1787,3,2448,6.2
Tue, Jan 4 2011,1000,588,12.6,1270,5.3,1858,7.6
Tue, Jan 4 2011,1100,645,12.9,1059,8.7,1704,10.3
Tue, Jan 4 2011,1200,855,10.3,1038,10.3,1893,10.3
Tue, Jan 4 2011,1300,914,8.8,1134,9.1,2048,8.9
Tue, Jan 4 2011,1400,948,7.8,1268,9.9,2216,9
Tue, Jan 4 2011,1500,1112,7.8,1112,9.2,2224,8.5
Tue, Jan 4 2011,1600,1247,6.2,1120,7.1,2367,6.6
Tue, Jan 4 2011,1700,1861,3.7,1114,6.6,2975,4.7
Tue, Jan 4 2011,1800,2321,2.5,1054,5.1,3375,3.3
Tue, Jan 4 2011,1900,1701,3,936,5.4,2637,3.9
Tue, Jan 4 2011,2000,947,3.9,737,6.6,1684,5.1
Tue, Jan 4 2011,2100,624,5.9,550,5.8,1174,5.9
Tue, Jan 4 2011,2200,470,5.5,370,10.3,840,7.6
Tue, Jan 4 2011,2300,365,6,280,10.4,645,7.9
Tue, Jan 4 2011,2400,214,8.9,143,11.2,357,9.8
Wed, Jan 5 2011,0100,127,19.7,71,21.1,198,20.2
Wed, Jan 5 2011,0200,81,22.2,47,25.5,128,23.4
Wed, Jan 5 2011,0300,74,33.8,38,36.8,112,34.8
Wed, Jan 5 2011,0400,56,55.4,55,23.6,111,39.6
Wed, Jan 5 2011,0500,74,36.5,115,29.6,189,32.3
Wed, Jan 5 2011,0600,122,45.9,247,20.2,369,28.7
Wed, Jan 5 2011,0700,350,29.4,911,7.8,1261,13.8
Wed, Jan 5 2011,0800,631,13.6,1886,3.9,2517,6.3
Wed, Jan 5 2011,0900,816,16.2,1835,3.9,2651,7.7
Wed, Jan 5 2011,1000,750,15.3,1400,5.9,2150,9.2
Wed, Jan 5 2011,1100,758,10.2,1199,9.2,1957,9.6
Wed, Jan 5 2011,1200,849,11.8,1267,9.9,2116,10.6
Wed, Jan 5 2011,1300,910,10.2,1211,9.5,2121,9.8
Wed, Jan 5 2011,1400,979,8.6,1113,10.5,2092,9.6
Wed, Jan 5 2011,1500,1145,8.6,1091,11.6,2236,10.1
Wed, Jan 5 2011,1600,1313,6.8,1124,10.1,2437,8.3
Wed, Jan 5 2011,1700,1884,5,1061,10.4,2945,6.9
Wed, Jan 5 2011,1800,2275,2.7,1057,6.6,3332,4
Wed, Jan 5 2011,1900,1846,3,975,7.3,2821,4.5
Wed, Jan 5 2011,2000,1174,3.4,770,6.8,1944,4.7
Wed, Jan 5 2011,2100,788,5.8,481,8.3,1269,6.8
Wed, Jan 5 2011,2200,544,5.3,391,10,935,7.3
Wed, Jan 5 2011,2300,347,6.3,273,10.3,620,8.1
Wed, Jan 5 2011,2400,233,6.9,161,13.7,394,9.6
Thu, Jan 6 2011,0100,158,16.5,74,20.3,232,17.7
Thu, Jan 6 2011,0200,108,31.5,43,30.2,151,31.1
Thu, Jan 6 2011,0300,51,51,48,29.2,99,40.4
Thu, Jan 6 2011,0400,55,54.5,56,28.6,111,41.4
Thu, Jan 6 2011,0500,89,41.6,133,22.6,222,30.2
Thu, Jan 6 2011,0600,123,38.2,272,18.8,395,24.8
Thu, Jan 6 2011,0700,345,30.1,954,7,1299,13.2
Thu, Jan 6 2011,0800,648,18.8,1929,3.6,2577,7.5
Thu, Jan 6 2011,0900,825,17,1865,4.7,2690,8.4
Thu, Jan 6 2011,1000,740,17.4,1420,7,2160,10.6
Thu, Jan 6 2011,1100,741,13.1,1097,9,1838,10.7
Thu, Jan 6 2011,1200,872,10.6,1255,11.4,2127,11
Thu, Jan 6 2011,1300,1015,12.7,1210,10.7,2225,11.6
Thu, Jan 6 2011,1400,1007,9,1207,11.3,2214,10.3
Thu, Jan 6 2011,1500,1118,8.8,1175,12.3,2293,10.6
Thu, Jan 6 2011,1600,1404,6.4,1119,11,2523,8.4
Thu, Jan 6 2011,1700,2010,5,1125,10,3135,6.8
Thu, Jan 6 2011,1800,2457,3.1,1123,6.2,3580,4.1
Thu, Jan 6 2011,1900,1938,3.4,1087,6.9,3025,4.6
Thu, Jan 6 2011,2000,1127,3.7,829,7.1,1956,5.2
Thu, Jan 6 2011,2100,865,5.4,534,7.5,1399,6.2
Thu, Jan 6 2011,2200,655,5.5,410,10.7,1065,7.5
Thu, Jan 6 2011,2300,433,6.9,290,11.4,723,8.7
Thu, Jan 6 2011,2400,258,10.1,168,12.5,426,11
Fri, Jan 7 2011,0100,174,19.5,99,20.2,273,19.8
Fri, Jan 7 2011,0200,132,30.3,50,48,182,35.2
Fri, Jan 7 2011,0300,71,39.4,44,40.9,115,40
Fri, Jan 7 2011,0400,81,45.7,74,32.4,155,39.4
Fri, Jan 7 2011,0500,104,31.7,136,30.1,240,30.8
Fri, Jan 7 2011,0600,124,37.9,252,24.6,376,29
Fri, Jan 7 2011,0700,313,30,943,8.3,1256,13.7
Fri, Jan 7 2011,0800,616,20.9,1757,4.4,2373,8.7
Fri, Jan 7 2011,0900,740,17.6,1762,5.3,2502,9
Fri, Jan 7 2011,1000,670,16.6,1338,6.4,2008,9.8
Fri, Jan 7 2011,1100,725,17.1,1004,10.7,1729,13.4
Fri, Jan 7 2011,1200,869,11.6,1075,11.5,1944,11.6
Fri, Jan 7 2011,1300,1091,9.2,1123,12.8,2214,11
Fri, Jan 7 2011,1400,1213,7.5,1183,12.3,2396,9.9
Fri, Jan 7 2011,1500,1511,6.3,1130,11.9,2641,8.7
Fri, Jan 7 2011,1600,1944,4.6,1189,10.2,3133,6.7
Fri, Jan 7 2011,1700,2139,3.3,1192,7,3331,4.6
Fri, Jan 7 2011,1800,2289,2.7,1195,6.4,3484,4
Fri, Jan 7 2011,1900,1991,2.7,1038,5.1,3029,3.5
Fri, Jan 7 2011,2000,1430,2.8,833,4.2,2263,3.3
Fri, Jan 7 2011,2100,912,3.6,484,7.6,1396,5
Fri, Jan 7 2011,2200,558,5,440,8.2,998,6.4
Fri, Jan 7 2011,2300,468,5.3,344,8.1,812,6.5
Fri, Jan 7 2011,2400,265,6,180,13.3,445,9
Sat, Jan 8 2011,0100,218,13.8,106,9.4,324,12.3
Sat, Jan 8 2011,0200,151,18.5,62,19.4,213,18.8
Sat, Jan 8 2011,0300,113,21.2,47,19.1,160,20.6
Sat, Jan 8 2011,0400,83,31.3,66,31.8,149,31.5
Sat, Jan 8 2011,0500,98,24.5,77,27.3,175,25.7
Sat, Jan 8 2011,0600,95,21.1,117,20.5,212,20.8
Sat, Jan 8 2011,0700,152,25,283,8.1,435,14
Sat, Jan 8 2011,0800,298,11.1,458,6.3,756,8.2
Sat, Jan 8 2011,0900,448,9.4,516,4.1,964,6.5
Sat, Jan 8 2011,1000,514,5.8,699,5.7,1213,5.8
Sat, Jan 8 2011,1100,668,5.2,820,6,1488,5.6
Sat, Jan 8 2011,1200,993,3.5,979,5.4,1972,4.5
Sat, Jan 8 2011,1300,1117,3,1219,4.6,2336,3.8
Sat, Jan 8 2011,1400,1254,2.9,1264,4.2,2518,3.5
Sat, Jan 8 2011,1500,1292,1.9,1142,3,2434,2.4
Sat, Jan 8 2011,1600,1273,2.1,985,2.7,2258,2.4
Sat, Jan 8 2011,1700,1226,1.5,993,2.3,2219,1.9
Sat, Jan 8 2011,1800,1181,1.9,833,2.5,2014,2.1
Sat, Jan 8 2011,1900,1010,2.1,905,2.2,1915,2.1
Sat, Jan 8 2011,2000,789,1.3,760,3,1549,2.1
Sat, Jan 8 2011,2100,522,1.5,543,3.5,1065,2.5
Sat, Jan 8 2011,2200,373,2.1,362,3.6,735,2.9
Sat, Jan 8 2011,2300,248,2.8,228,4.8,476,3.8
Sat, Jan 8 2011,2400,242,2.9,145,6.9,387,4.4
Sun, Jan 9 2011,0100,170,4.1,96,9.4,266,6
Sun, Jan 9 2011,0200,144,4.9,62,1.6,206,3.9
Sun, Jan 9 2011,0300,96,9.4,53,7.5,149,8.7
Sun, Jan 9 2011,0400,80,6.2,63,12.7,143,9.1
Sun, Jan 9 2011,0500,53,5.7,59,5.1,112,5.4
Sun, Jan 9 2011,0600,84,3.6,99,7.1,183,5.5
Sun, Jan 9 2011,0700,125,6.4,197,1.5,322,3.4
Sun, Jan 9 2011,0800,189,6.3,264,4.2,453,5.1
Sun, Jan 9 2011,0900,255,4.3,196,8.2,451,6
Sun, Jan 9 2011,1000,303,6.9,303,5.6,606,6.3
Sun, Jan 9 2011,1100,433,4.8,508,3.9,941,4.4
Sun, Jan 9 2011,1200,547,2.9,813,2.5,1360,2.6
Sun, Jan 9 2011,1300,852,1.9,1072,2.1,1924,2
Sun, Jan 9 2011,1400,918,2.5,1311,1.1,2229,1.7
Sun, Jan 9 2011,1500,972,1.4,1271,1.8,2243,1.6
Sun, Jan 9 2011,1600,1056,1.7,1308,1.1,2364,1.4
Sun, Jan 9 2011,1700,1212,1.1,1518,1.7,2730,1.4
Sun, Jan 9 2011,1800,1120,1.1,1538,1.1,2658,1.1
Sun, Jan 9 2011,1900,1098,1.3,1494,1.3,2592,1.3
Sun, Jan 9 2011,2000,830,1.8,1365,2,2195,1.9
Sun, Jan 9 2011,2100,725,2.9,996,1.4,1721,2
Sun, Jan 9 2011,2200,417,2.2,745,2.6,1162,2.4
Sun, Jan 9 2011,2300,292,3.1,424,4.2,716,3.8
Sun, Jan 9 2011,2400,343,4.7,219,2.7,562,3.9
Mon, Jan 10 2011,0100,141,11.3,100,11,241,11.2
Mon, Jan 10 2011,0200,65,21.5,42,4.8,107,15
Mon, Jan 10 2011,0300,49,30.6,34,29.4,83,30.1
Mon, Jan 10 2011,0400,45,40,52,15.4,97,26.8
Mon, Jan 10 2011,0500,67,38.8,106,27.4,173,31.8
Mon, Jan 10 2011,0600,119,27.7,262,14.1,381,18.4
Mon, Jan 10 2011,0700,405,19.8,1031,5.5,1436,9.5
Mon, Jan 10 2011,0800,735,14.7,2385,2.9,3120,5.6
Mon, Jan 10 2011,0900,921,10.4,2282,3.8,3203,5.7
Mon, Jan 10 2011,1000,749,13.6,1614,6.3,2363,8.6
Mon, Jan 10 2011,1100,674,15.7,1090,9.4,1764,11.8
Mon, Jan 10 2011,1200,727,15.1,933,13.3,1660,14.1
Mon, Jan 10 2011,1300,751,12.6,952,12.6,1703,12.6
Mon, Jan 10 2011,1400,919,11.2,978,14.3,1897,12.8
Mon, Jan 10 2011,1500,1009,10.1,935,15.2,1944,12.6
Mon, Jan 10 2011,1600,1310,8.9,893,13.2,2203,10.7
Mon, Jan 10 2011,1700,1890,5.2,923,9.4,2813,6.6
Mon, Jan 10 2011,1800,2251,3.3,935,7.2,3186,4.5
Mon, Jan 10 2011,1900,1757,3.1,893,5.3,2650,3.8
Mon, Jan 10 2011,2000,1041,3.2,681,7.3,1722,4.8
Mon, Jan 10 2011,2100,634,5.7,444,9,1078,7.1
Mon, Jan 10 2011,2200,459,2.8,366,7.4,825,4.8
Mon, Jan 10 2011,2300,349,7.7,262,10.7,611,9
Mon, Jan 10 2011,2400,336,5.7,164,9.8,500,7
Tue, Jan 11 2011,0100,146,13.7,90,16.7,236,14.8
Tue, Jan 11 2011,0200,88,33,40,27.5,128,31.2
Tue, Jan 11 2011,0300,62,38.7,31,32.3,93,36.6
Tue, Jan 11 2011,0400,64,53.1,50,40,114,47.4
Tue, Jan 11 2011,0500,93,36.6,116,22.4,209,28.7
Tue, Jan 11 2011,0600,146,39.7,268,19.4,414,26.6
Tue, Jan 11 2011,0700,344,25,1069,7.4,1413,11.7
Tue, Jan 11 2011,0800,764,16.4,2280,3.7,3044,6.9
Tue, Jan 11 2011,0900,1007,11.9,2127,4.8,3134,7.1
Tue, Jan 11 2011,1000,796,13.7,1593,5.8,2389,8.5
Tue, Jan 11 2011,1100,778,12.7,1141,9.7,1919,10.9
Tue, Jan 11 2011,1200,758,15.2,892,14.6,1650,14.8
Tue, Jan 11 2011,1300,812,15.3,970,15.5,1782,15.4
Tue, Jan 11 2011,1400,962,12.3,975,16.1,1937,14.2
Tue, Jan 11 2011,1500,1066,11.4,969,17.1,2035,14.2
Tue, Jan 11 2011,1600,1328,8.9,1016,13.9,2344,11
Tue, Jan 11 2011,1700,1975,4.9,1041,10.6,3016,6.8
Tue, Jan 11 2011,1800,2413,2.8,937,7.9,3350,4.2
Tue, Jan 11 2011,1900,1870,3.7,916,7.1,2786,4.8
Tue, Jan 11 2011,2000,1119,3.4,678,7.2,1797,4.8
Tue, Jan 11 2011,2100,706,5.4,472,9.3,1178,7
Tue, Jan 11 2011,2200,528,5.5,56,16.1,584,6.5
Tue, Jan 11 2011,2300,378,7.1,0,-1,378,7.1
Tue, Jan 11 2011,2400,237,8.4,0,-1,237,8.4
Wed, Jan 12 2011,0100,131,19.8,0,-1,131,19.8
Wed, Jan 12 2011,0200,88,23.9,0,-1,88,23.9
Wed, Jan 12 2011,0300,54,44.4,0,-1,54,44.4
Wed, Jan 12 2011,0400,52,42.3,0,-1,52,42.3
Wed, Jan 12 2011,0500,83,43.4,1,0,84,42.9
Wed, Jan 12 2011,0600,125,36,122,21.3,247,28.7
Wed, Jan 12 2011,0700,357,28.3,1092,5.6,1449,11.2
Wed, Jan 12 2011,0800,756,19.2,2207,4.3,2963,8.1
Wed, Jan 12 2011,0900,956,12.1,2153,4.3,3109,6.7
Wed, Jan 12 2011,1000,884,14.3,1599,7,2483,9.6
Wed, Jan 12 2011,1100,795,15.2,1148,10.1,1943,12.2
Wed, Jan 12 2011,1200,787,13.1,998,15.5,1785,14.5
Wed, Jan 12 2011,1300,910,13.5,946,17.3,1856,15.5
Wed, Jan 12 2011,1400,979,10.7,968,14.7,1947,12.7
Wed, Jan 12 2011,1500,1096,9.3,947,14.5,2043,11.7
Wed, Jan 12 2011,1600,1389,7,998,10.8,2387,8.6
Wed, Jan 12 2011,1700,1898,4.7,1063,9.3,2961,6.4
Wed, Jan 12 2011,1800,2047,2.5,1002,9.7,3049,4.9
Wed, Jan 12 2011,1900,1922,3.7,1064,6.4,2986,4.7
Wed, Jan 12 2011,2000,1309,4,774,6.5,2083,4.9
Wed, Jan 12 2011,2100,770,4.7,516,9.1,1286,6.5
Wed, Jan 12 2011,2200,577,5.5,371,8.1,948,6.5
Wed, Jan 12 2011,2300,433,6.7,294,10.5,727,8.3
Wed, Jan 12 2011,2400,266,4.9,185,9.7,451,6.9
Thu, Jan 13 2011,0100,145,19.3,70,18.6,215,19.1
Thu, Jan 13 2011,0200,110,25.5,39,33.3,149,27.5
Thu, Jan 13 2011,0300,60,38.3,30,40,90,38.9
Thu, Jan 13 2011,0400,58,48.3,58,29.3,116,38.8
Thu, Jan 13 2011,0500,83,43.4,104,29.8,187,35.8
Thu, Jan 13 2011,0600,139,38.8,249,20.5,388,27.1
Thu, Jan 13 2011,0700,357,26.6,1069,7.1,1426,12
Thu, Jan 13 2011,0800,742,16.6,2234,3.3,2976,6.6
Thu, Jan 13 2011,0900,982,12.6,2145,4.3,3127,6.9
Thu, Jan 13 2011,1000,860,13.5,1622,7.5,2482,9.5
Thu, Jan 13 2011,1100,713,12.8,1098,11.9,1811,12.3
Thu, Jan 13 2011,1200,788,14.7,1034,14.2,1822,14.4
Thu, Jan 13 2011,1300,856,12,943,15.3,1799,13.7
Thu, Jan 13 2011,1400,961,9.6,976,13.4,1937,11.5
Thu, Jan 13 2011,1500,1111,11.1,927,13.5,2038,12.2
Thu, Jan 13 2011,1600,1325,8.4,1053,13.4,2378,10.6
Thu, Jan 13 2011,1700,2002,5,1081,10.2,3083,6.8
Thu, Jan 13 2011,1800,2226,3.4,1054,5,3280,3.9
Thu, Jan 13 2011,1900,1930,3.5,1015,7.4,2945,4.8
Thu, Jan 13 2011,2000,1103,4.2,812,6,1915,5
Thu, Jan 13 2011,2100,844,3.9,501,8.8,1345,5.7
Thu, Jan 13 2011,2200,628,3.2,368,6.5,996,4.4
Thu, Jan 13 2011,2300,500,5,299,10.7,799,7.1
Thu, Jan 13 2011,2400,288,6.2,165,9.1,453,7.3
Fri, Jan 14 2011,0100,164,22,55,20,219,21.5
Fri, Jan 14 2011,0200,94,25.5,45,31.1,139,27.3
Fri, Jan 14 2011,0300,77,28.6,43,37.2,120,31.7
Fri, Jan 14 2011,0400,65,36.9,63,30.2,128,33.6
Fri, Jan 14 2011,0500,105,34.3,103,35,208,34.6
Fri, Jan 14 2011,0600,145,38.6,252,19.8,397,26.7
Fri, Jan 14 2011,0700,343,26.5,1003,7.6,1346,12.4
Fri, Jan 14 2011,0800,717,16.3,2092,3.8,2809,7
Fri, Jan 14 2011,0900,925,11.4,2088,4.9,3013,6.9
Fri, Jan 14 2011,1000,785,13.6,1478,7.2,2263,9.4
Fri, Jan 14 2011,1100,833,12.8,1052,10.6,1885,11.6
Fri, Jan 14 2011,1200,886,10.9,998,13,1884,12
Fri, Jan 14 2011,1300,1027,10.1,1003,11.9,2030,11
Fri, Jan 14 2011,1400,1285,8.1,1055,12,2340,9.9
Fri, Jan 14 2011,1500,1622,6.2,1056,11.7,2678,8.4
Fri, Jan 14 2011,1600,2160,4.4,1225,10.5,3385,6.6
Fri, Jan 14 2011,1700,2415,2.9,1231,7.4,3646,4.4
Fri, Jan 14 2011,1800,2477,2.8,1178,5.9,3655,3.8
Fri, Jan 14 2011,1900,2550,2.5,1196,3.4,3746,2.8
Fri, Jan 14 2011,2000,1592,3.1,998,4.1,2590,3.5
Fri, Jan 14 2011,2100,1038,2.9,627,4.1,1665,3.4
Fri, Jan 14 2011,2200,703,3.7,472,5.3,1175,4.3
Fri, Jan 14 2011,2300,458,5.7,348,8.3,806,6.8
Fri, Jan 14 2011,2400,319,4.4,194,6.7,513,5.3
Sat, Jan 15 2011,0100,208,15.4,98,12.2,306,14.4
Sat, Jan 15 2011,0200,147,17,64,18.8,211,17.5
Sat, Jan 15 2011,0300,95,20,46,30.4,141,23.4
Sat, Jan 15 2011,0400,73,31.5,63,25.4,136,28.7
Sat, Jan 15 2011,0500,113,16.8,91,12.1,204,14.7
Sat, Jan 15 2011,0600,117,18.8,142,19,259,18.9
Sat, Jan 15 2011,0700,191,15.2,331,10.9,522,12.5
Sat, Jan 15 2011,0800,368,8.7,436,6,804,7.2
Sat, Jan 15 2011,0900,494,7.3,756,4.5,1250,5.6
Sat, Jan 15 2011,1000,674,8.3,953,4.8,1627,6.3
Sat, Jan 15 2011,1100,918,4.5,966,5.5,1884,5
Sat, Jan 15 2011,1200,1128,3.8,1200,4.7,2328,4.3
Sat, Jan 15 2011,1300,1248,2.1,1271,4.1,2519,3.1
Sat, Jan 15 2011,1400,1290,1.9,1166,3.6,2456,2.7
Sat, Jan 15 2011,1500,1328,2,1013,3.5,2341,2.6
Sat, Jan 15 2011,1600,1330,1.7,966,2,2296,1.8
Sat, Jan 15 2011,1700,1413,1.9,945,2.5,2358,2.2
Sat, Jan 15 2011,1800,1338,1.4,888,2,2226,1.7
Sat, Jan 15 2011,1900,1220,1.8,901,2.8,2121,2.2
Sat, Jan 15 2011,2000,883,1.6,763,2.8,1646,2.1
Sat, Jan 15 2011,2100,581,1.2,557,3.9,1138,2.5
Sat, Jan 15 2011,2200,339,2.4,328,4,667,3.1
Sat, Jan 15 2011,2300,281,3.2,281,3.2,562,3.2
Sat, Jan 15 2011,2400,247,2.8,170,2.9,417,2.9
Sun, Jan 16 2011,0100,191,4.2,92,4.3,283,4.2
Sun, Jan 16 2011,0200,103,4.9,69,8.7,172,6.4
Sun, Jan 16 2011,0300,77,3.9,48,6.2,125,4.8
Sun, Jan 16 2011,0400,86,5.8,60,8.3,146,6.8
Sun, Jan 16 2011,0500,82,3.7,58,12.1,140,7.1
Sun, Jan 16 2011,0600,89,7.9,87,5.7,176,6.8
Sun, Jan 16 2011,0700,128,6.2,213,4.2,341,5
Sun, Jan 16 2011,0800,212,6.1,220,1.8,432,3.9
Sun, Jan 16 2011,0900,326,3.1,234,4.7,560,3.8
Sun, Jan 16 2011,1000,464,3.7,401,3.7,865,3.7
Sun, Jan 16 2011,1100,569,1.9,586,4.3,1155,3.1
Sun, Jan 16 2011,1200,724,2.5,898,1.8,1622,2.1
Sun, Jan 16 2011,1300,903,2.1,1168,1.5,2071,1.8
Sun, Jan 16 2011,1400,1021,1.6,1376,1.5,2397,1.5
Sun, Jan 16 2011,1500,1070,1.6,1345,1,2415,1.3
Sun, Jan 16 2011,1600,1153,1.4,1359,1.6,2512,1.5
Sun, Jan 16 2011,1700,1239,1.1,1373,1.3,2612,1.2
Sun, Jan 16 2011,1800,1206,1.1,1549,0.8,2755,0.9
Sun, Jan 16 2011,1900,1140,1.6,1697,1.9,2837,1.8
Sun, Jan 16 2011,2000,1033,1.5,1554,1.4,2587,1.5
Sun, Jan 16 2011,2100,751,1.2,1278,1.4,2029,1.3
Sun, Jan 16 2011,2200,491,3.5,1041,1.9,1532,2.4
Sun, Jan 16 2011,2300,300,4.3,504,2.2,804,3
Sun, Jan 16 2011,2400,228,2.6,224,3.6,452,3.1
Mon, Jan 17 2011,0100,120,11.7,107,6.5,227,9.3
Mon, Jan 17 2011,0200,72,23.6,41,4.9,113,16.8
Mon, Jan 17 2011,0300,58,22.4,46,23.9,104,23.1
Mon, Jan 17 2011,0400,44,38.6,55,12.7,99,24.2
Mon, Jan 17 2011,0500,76,43.4,114,26.3,190,33.2
Mon, Jan 17 2011,0600,145,31,281,12.1,426,18.5
Mon, Jan 17 2011,0700,395,20.5,1182,6.1,1577,9.7
Mon, Jan 17 2011,0800,865,14.2,2428,3.7,3293,6.5
Mon, Jan 17 2011,0900,956,10.1,2300,3.5,3256,5.4
Mon, Jan 17 2011,1000,798,11.8,1670,5.9,2468,7.8
Mon, Jan 17 2011,1100,705,15.9,1014,9.3,1719,12
Mon, Jan 17 2011,1200,744,14.1,972,13.4,1716,13.7
Mon, Jan 17 2011,1300,818,12.5,924,13.5,1742,13
Mon, Jan 17 2011,1400,932,9.7,1001,10.2,1933,9.9
Mon, Jan 17 2011,1500,989,9.5,928,10.9,1917,10.2
Mon, Jan 17 2011,1600,1303,6.3,916,12.8,2219,9
Mon, Jan 17 2011,1700,1837,5.2,953,10.1,2790,6.9
Mon, Jan 17 2011,1800,2286,3.3,970,7.7,3256,4.6
